
These predictions were generated by MoorDyn (v2.0.02022-12-08) on 20-Sep-2023 at 07:59:09.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)
    2.6000   3.3318825E+06   3.0836482E+06   3.1757125E+06
    2.6100   3.3318822E+06   3.0836482E+06   3.1757125E+06
    2.6200   3.3318822E+06   3.0836482E+06   3.1757128E+06
    2.6300   3.3318822E+06   3.0836482E+06   3.1757128E+06
    2.6400   3.3318820E+06   3.0836482E+06   3.1757128E+06
    2.6500   3.3318820E+06   3.0836482E+06   3.1757130E+06
    2.6600   3.3318818E+06   3.0836482E+06   3.1757130E+06
    2.6700   3.3318818E+06   3.0836482E+06   3.1757132E+06
    2.6800   3.3318815E+06   3.0836482E+06   3.1757132E+06
    2.6900   3.3318815E+06   3.0836482E+06   3.1757135E+06
    2.7000   3.3318812E+06   3.0836482E+06   3.1757138E+06
    2.7100   3.3318810E+06   3.0836482E+06   3.1757140E+06
    2.7200   3.3318808E+06   3.0836480E+06   3.1757142E+06
    2.7300   3.3318808E+06   3.0836480E+06   3.1757145E+06
    2.7400   3.3318805E+06   3.0836480E+06   3.1757148E+06
    2.7500   3.3318802E+06   3.0836478E+06   3.1757150E+06
    2.7600   3.3318800E+06   3.0836478E+06   3.1757152E+06
    2.7700   3.3318798E+06   3.0836478E+06   3.1757155E+06
    2.7800   3.3318798E+06   3.0836478E+06   3.1757158E+06
    2.7900   3.3318795E+06   3.0836478E+06   3.1757160E+06
    2.8000   3.3318792E+06   3.0836475E+06   3.1757160E+06
    2.8100   3.3318792E+06   3.0836475E+06   3.1757162E+06
    2.8200   3.3318790E+06   3.0836475E+06   3.1757165E+06
    2.8300   3.3318790E+06   3.0836475E+06   3.1757165E+06
    2.8400   3.3318788E+06   3.0836475E+06   3.1757168E+06
    2.8500   3.3318788E+06   3.0836475E+06   3.1757168E+06
    2.8600   3.3318785E+06   3.0836475E+06   3.1757170E+06
    2.8700   3.3318785E+06   3.0836475E+06   3.1757170E+06
    2.8800   3.3318782E+06   3.0836475E+06   3.1757170E+06
    2.8900   3.3318782E+06   3.0836475E+06   3.1757172E+06
    2.9000   3.3318780E+06   3.0836475E+06   3.1757172E+06
    2.9100   3.3318780E+06   3.0836475E+06   3.1757175E+06
    2.9200   3.3318778E+06   3.0836475E+06   3.1757175E+06
    2.9300   3.3318778E+06   3.0836475E+06   3.1757178E+06
    2.9400   3.3318775E+06   3.0836475E+06   3.1757180E+06
    2.9500   3.3318772E+06   3.0836475E+06   3.1757182E+06
    2.9600   3.3318772E+06   3.0836472E+06   3.1757185E+06
    2.9700   3.3318770E+06   3.0836472E+06   3.1757185E+06
    2.9800   3.3318768E+06   3.0836472E+06   3.1757188E+06
    2.9900   3.3318765E+06   3.0836472E+06   3.1757190E+06
    3.0000   3.3318765E+06   3.0836472E+06   3.1757192E+06
    3.0100   3.3318762E+06   3.0836470E+06   3.1757195E+06
    3.0200   3.3318760E+06   3.0836470E+06   3.1757198E+06
    3.0300   3.3318758E+06   3.0836470E+06   3.1757200E+06
    3.0400   3.3318758E+06   3.0836470E+06   3.1757202E+06
    3.0500   3.3318755E+06   3.0836470E+06   3.1757202E+06
    3.0600   3.3318752E+06   3.0836470E+06   3.1757205E+06
    3.0700   3.3318752E+06   3.0836470E+06   3.1757208E+06
